Geneid	treated2_BAM
b4413	9
b4762	36
b4577	22
b4810	535
b4840	1828
b4414	3563
b4809	25
b0201	552
b0202	95
b0203	1249
b0204	656
b0205	4
b0206	7403
b0216	3795
b0244	53
b4690	10
b0455	3143
b4585	4
b4831	60
b0536	96
b4835	1
b4763	213
b0664	768
b0665	1900
b0666	758
b0668	1538
b0670	779
b0672	1687
b0673	4003
b4808	17
b4764	42
b0743	1547
b0744	3041
b0745	314
b0746	1297
b0747	61
b0748	1424
b0749	893
b4814	14
b4416	60
b4417	14
b0883	867
b0971	940
b1032	5471
b4826	0
b4418	152
b4832	6
b4843	103
b4806	10
b4420	13
b4422	1
b4424	9
b4813	6
b4425	1401
b1230	376
b1231	839
b4426	26
b4699	6
b4714	1
b4833	0
b4427	12
b4597	22
b4429	23
b4698	20
b1574	6
b1665	84
b1666	195
b4430	0
b4431	3
b4432	51
b4433	0
b4717	78
b4828	9
b4839	13
b4434	5
b4759	10
b1909	208
b1910	865
b1911	1068
b4719	39
b4827	8
b1954	0
b4603	0
b1975	3554
b1977	107
b1984	134
b1986	37
b1989	20
b4435	7
b4436	80
b4437	103
b4438	37
b2189	325
b4439	4
b2348	48
b2396	389
b2397	469
b2401	2370
b2402	5226
b2403	1239
b2404	12
b4761	156
b4811	29
b4440	189
b4441	1193
b4608	3
b2588	0
b2589	262
b2590	1297
b2591	267
b4609	175
b4805	125
b2652	0
b4442	67
b2691	525
b2692	208
b2693	2409
b2694	3653
b2695	21891
b4701	1
b4844	68
b4408	693
b4443	1944
b2814	399
b2815	808
b2816	529
b4444	5
b4445	3
b2864	254
b2911	23295
b4446	43
b2967	64
b4447	179
b4611	344
b3069	3
b3123	44144
b4449	510
b3171	12332
b3174	3741
b4450	94
b3272	4
b3273	897
b3274	5
b3275	1181
b3276	1173
b3277	6648
b3278	786
b4846	66
b4841	588
b4842	194
b4451	4
b4712	16
b4713	13
b4704	0
b4718	0
b4452	13
b4454	22
b3545	176
b4834	16
b4760	6
b3658	2135
b4829	37
b4616	3
b4804	3178
b3756	187
b3757	10439
b3758	186
b3759	9
b3760	22339
b3761	412
b3796	1764
b3797	1156
b3798	1090
b3799	677
b4456	1050
b4707	344
b3851	47
b3852	538
b3853	381
b3854	85
b3855	6
b3864	114
b4457	1491
b4836	234
b4716	4
b4458	2
b3968	741
b3969	563
b3970	211
b3971	2
b3976	193
b3977	7668
b3978	7316
b3979	317
b4691	1082
b4007	205
b4008	6678
b4009	192
b4010	6
b4830	12
b4807	27
b4758	18
b4459	9
b4134	22
b4825	701
b4163	250
b4164	61
b4165	144
b4270	600
b4624	42
b4838	423
b4625	34
b4368	905
b4369	6102
b4370	574
