Geneid	control1_BAM
b4413	7
b4762	69
b4577	24
b4810	1601
b4840	1927
b4414	809
b4809	17
b0201	218
b0202	139
b0203	744
b0204	3225
b0205	2
b0206	5439
b0216	7643
b0244	64
b4690	48
b0455	5435
b4585	7
b4831	292
b0536	184
b4835	5
b4763	356
b0664	582
b0665	1157
b0666	972
b0668	1132
b0670	841
b0672	1767
b0673	7598
b4808	0
b4764	126
b0743	1122
b0744	1443
b0745	301
b0746	862
b0747	59
b0748	725
b0749	667
b4814	37
b4416	54
b4417	16
b0883	2508
b0971	1439
b1032	12140
b4826	3
b4418	86
b4832	20
b4843	181
b4806	3
b4420	21
b4422	1
b4424	2
b4813	18
b4425	291
b1230	292
b1231	830
b4426	54
b4699	8
b4714	0
b4833	0
b4427	19
b4597	18
b4429	34
b4698	19
b1574	3
b1665	152
b1666	247
b4430	4
b4431	0
b4432	34
b4433	0
b4717	95
b4828	8
b4839	6
b4434	11
b4759	4
b1909	288
b1910	1282
b1911	983
b4719	13
b4827	23
b1954	5
b4603	0
b1975	5600
b1977	152
b1984	176
b1986	64
b1989	41
b4435	0
b4436	96
b4437	107
b4438	27
b2189	565
b4439	4
b2348	99
b2396	602
b2397	675
b2401	1977
b2402	6372
b2403	779
b2404	20
b4761	121
b4811	22
b4440	129
b4441	973
b4608	6
b2588	2
b2589	425
b2590	1055
b2591	5417
b4609	581
b4805	1788
b2652	0
b4442	147
b2691	359
b2692	159
b2693	4491
b2694	4325
b2695	27158
b4701	0
b4844	134
b4408	2539
b4443	1434
b2814	613
b2815	1554
b2816	390
b4444	22
b4445	12
b2864	554
b2911	78713
b4446	171
b2967	52
b4447	555
b4611	753
b3069	11
b3123	49387
b4449	271
b3171	16169
b3174	1562
b4450	92
b3272	12
b3273	1922
b3274	0
b3275	486
b3276	637
b3277	279
b3278	337
b4846	62
b4841	1063
b4842	238
b4451	8
b4712	17
b4713	5
b4704	0
b4718	3
b4452	20
b4454	24
b3545	258
b4834	19
b4760	3
b3658	4116
b4829	123
b4616	1
b4804	3967
b3756	152
b3757	4083
b3758	198
b3759	10
b3760	31292
b3761	546
b3796	1473
b3797	2470
b3798	1579
b3799	506
b4456	1047
b4707	330
b3851	107
b3852	188
b3853	1939
b3854	91
b3855	35
b3864	242
b4457	2315
b4836	1195
b4716	30
b4458	8
b3968	142
b3969	398
b3970	241
b3971	4
b3976	340
b3977	5906
b3978	7729
b3979	662
b4691	2670
b4007	194
b4008	2930
b4009	127
b4010	0
b4830	62
b4807	53
b4758	42
b4459	26
b4134	60
b4825	344
b4163	326
b4164	8881
b4165	208
b4270	1335
b4624	73
b4838	604
b4625	9
b4368	1017
b4369	9878
b4370	618
