Geneid	control2_BAM
b4413	6
b4762	39
b4577	31
b4810	1163
b4840	1720
b4414	3594
b4809	40
b0201	302
b0202	211
b0203	1328
b0204	475
b0205	2
b0206	6180
b0216	4569
b0244	52
b4690	15
b0455	3398
b4585	9
b4831	155
b0536	56
b4835	2
b4763	491
b0664	1159
b0665	1272
b0666	743
b0668	891
b0670	624
b0672	1918
b0673	4510
b4808	1
b4764	129
b0743	2216
b0744	3958
b0745	421
b0746	2398
b0747	125
b0748	2172
b0749	1629
b4814	23
b4416	40
b4417	15
b0883	795
b0971	1040
b1032	12983
b4826	0
b4418	168
b4832	28
b4843	166
b4806	12
b4420	21
b4422	1
b4424	9
b4813	23
b4425	313
b1230	449
b1231	987
b4426	43
b4699	7
b4714	0
b4833	0
b4427	8
b4597	34
b4429	45
b4698	39
b1574	4
b1665	64
b1666	107
b4430	4
b4431	2
b4432	33
b4433	0
b4717	118
b4828	4
b4839	6
b4434	51
b4759	15
b1909	185
b1910	720
b1911	890
b4719	20
b4827	22
b1954	6
b4603	0
b1975	4205
b1977	109
b1984	114
b1986	68
b1989	34
b4435	0
b4436	328
b4437	91
b4438	40
b2189	526
b4439	5
b2348	36
b2396	519
b2397	521
b2401	2799
b2402	7291
b2403	2151
b2404	31
b4761	162
b4811	22
b4440	229
b4441	2098
b4608	8
b2588	1
b2589	396
b2590	1002
b2591	357
b4609	353
b4805	235
b2652	1
b4442	154
b2691	968
b2692	215
b2693	2574
b2694	3459
b2695	19376
b4701	0
b4844	82
b4408	3838
b4443	4803
b2814	628
b2815	1908
b2816	1678
b4444	15
b4445	16
b2864	214
b2911	55805
b4446	106
b2967	74
b4447	214
b4611	593
b3069	5
b3123	56691
b4449	467
b3171	14105
b3174	3801
b4450	83
b3272	20
b3273	954
b3274	4
b3275	2029
b3276	2376
b3277	2822
b3278	2361
b4846	56
b4841	839
b4842	264
b4451	4
b4712	16
b4713	12
b4704	0
b4718	2
b4452	19
b4454	28
b3545	105
b4834	31
b4760	12
b3658	1990
b4829	15
b4616	3
b4804	2317
b3756	290
b3757	12695
b3758	290
b3759	14
b3760	33301
b3761	484
b3796	1305
b3797	1087
b3798	2069
b3799	1188
b4456	1770
b4707	270
b3851	148
b3852	805
b3853	457
b3854	127
b3855	88
b3864	466
b4457	2828
b4836	401
b4716	13
b4458	5
b3968	1913
b3969	632
b3970	438
b3971	4
b3976	148
b3977	10464
b3978	9836
b3979	278
b4691	2080
b4007	701
b4008	9433
b4009	7412
b4010	4
b4830	64
b4807	3
b4758	12
b4459	31
b4134	47
b4825	165
b4163	487
b4164	104
b4165	224
b4270	992
b4624	49
b4838	1103
b4625	8
b4368	1326
b4369	8486
b4370	890
