Geneid	treated3_BAM
b4413	11
b4762	34
b4577	25
b4810	588
b4840	1281
b4414	3317
b4809	34
b0201	183
b0202	194
b0203	345
b0204	185
b0205	1
b0206	4364
b0216	4338
b0244	64
b4690	17
b0455	1561
b4585	14
b4831	86
b0536	96
b4835	3
b4763	284
b0664	1491
b0665	2048
b0666	1291
b0668	1585
b0670	663
b0672	2256
b0673	4876
b4808	12
b4764	49
b0743	2054
b0744	2664
b0745	480
b0746	1633
b0747	68
b0748	1429
b0749	1302
b4814	22
b4416	53
b4417	5
b0883	1403
b0971	697
b1032	2307
b4826	2
b4418	130
b4832	12
b4843	132
b4806	7
b4420	15
b4422	0
b4424	5
b4813	9
b4425	1319
b1230	339
b1231	1229
b4426	28
b4699	1
b4714	0
b4833	0
b4427	6
b4597	22
b4429	56
b4698	34
b1574	2
b1665	63
b1666	127
b4430	1
b4431	3
b4432	21
b4433	0
b4717	122
b4828	12
b4839	8
b4434	12
b4759	16
b1909	178
b1910	456
b1911	842
b4719	20
b4827	18
b1954	1
b4603	2
b1975	2284
b1977	113
b1984	126
b1986	48
b1989	32
b4435	1
b4436	86
b4437	118
b4438	59
b2189	426
b4439	2
b2348	28
b2396	488
b2397	647
b2401	2052
b2402	4420
b2403	1470
b2404	20
b4761	181
b4811	28
b4440	160
b4441	1868
b4608	5
b2588	0
b2589	158
b2590	1070
b2591	107
b4609	236
b4805	119
b2652	0
b4442	54
b2691	408
b2692	127
b2693	2081
b2694	3290
b2695	8239
b4701	0
b4844	69
b4408	1113
b4443	2425
b2814	253
b2815	1280
b2816	881
b4444	9
b4445	6
b2864	104
b2911	41262
b4446	153
b2967	50
b4447	171
b4611	397
b3069	4
b3123	36163
b4449	543
b3171	8254
b3174	3300
b4450	72
b3272	9
b3273	901
b3274	1
b3275	864
b3276	761
b3277	4133
b3278	782
b4846	79
b4841	599
b4842	179
b4451	2
b4712	26
b4713	14
b4704	0
b4718	1
b4452	14
b4454	21
b3545	202
b4834	16
b4760	13
b3658	1661
b4829	21
b4616	3
b4804	2447
b3756	163
b3757	4769
b3758	128
b3759	3
b3760	26195
b3761	458
b3796	1709
b3797	815
b3798	990
b3799	633
b4456	1158
b4707	310
b3851	71
b3852	562
b3853	1214
b3854	67
b3855	5
b3864	180
b4457	1471
b4836	284
b4716	15
b4458	1
b3968	96
b3969	615
b3970	175
b3971	4
b3976	193
b3977	8488
b3978	7840
b3979	382
b4691	1523
b4007	149
b4008	3469
b4009	197
b4010	6
b4830	13
b4807	57
b4758	23
b4459	21
b4134	17
b4825	315
b4163	263
b4164	116
b4165	161
b4270	736
b4624	85
b4838	339
b4625	13
b4368	808
b4369	5406
b4370	457
